v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
27,43,40,27.9,4.7,8.8,0,0,4.7,8.8,0.529,1.6,2.5,4,6.2,2,0.7,0.4,1.4,2.1,10.9,18.4,0.551,0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,2.1,0.5,2.6,0.105,1.4,-1.9,-0.5,0.4,16.73539419
26,43,20,26.3,3.2,8.7,2.3,6,0.9,2.7,0.499,1,1.3,0.4,3.1,1.1,0.5,0.3,1.1,2.4,9.6,7.7,0.519,0.694,0.15,1.5,12.2,6.9,5.8,1,0.9,10.4,16.4,-0.2,1,0.8,0.035,-2.4,-0.4,-2.8,-0.2,16.73328129
24,73,49,30.6,7.8,14.9,0.9,2.7,6.9,12.2,0.555,4.9,6.7,2.2,6.5,3.1,0.7,0.6,2.8,3.4,21.4,21,0.6,0.179,0.447,7.6,21.6,14.7,15.8,1.1,1.6,13.8,27.8,4.2,1.9,6.1,0.131,2.1,-0.6,1.5,2,16.70588232
22,74,74,28.6,5.1,10.5,1,2.6,4.1,7.9,0.536,2,2.7,1.4,5.8,1.6,0.8,2.7,1.4,2.6,13.3,18,0.567,0.251,0.258,5.4,22,13.9,8,1.4,8.4,10.3,20,1.9,4.4,6.3,0.144,0,2.4,2.5,2.4,16.70588232
24,57,48,28.8,4.7,11.2,1.4,4.2,3.3,6.9,0.488,2,2.5,0.7,2.1,2.2,1,0.3,1.2,2,12.9,12.2,0.526,0.38,0.226,2.7,7.9,5.3,11,1.6,1,8.9,20,1.1,1.5,2.6,0.076,-1.2,-0.4,-1.6,0.2,16.69691366
27,76,70,23.2,4.8,8.1,0.2,1,4.6,7.1,0.6,2,3,2.7,4.6,1.2,0.7,1.4,1.1,2.1,11.8,21.8,0.624,0.126,0.368,12.9,21.3,17.2,8,1.5,4.8,10.5,19.4,4.4,3.5,7.9,0.215,1.8,1.5,3.3,2.4,16.68624634
35,68,13,23.2,2.2,4.4,0.7,2.1,1.5,2.3,0.579,0.6,1,0.7,3,3.2,0.9,0.8,0.8,1.4,5.7,13.1,0.587,0.477,0.222,3.4,13.2,8.5,16.8,1.8,2.7,13.6,10.4,2.4,1.8,4.2,0.129,0.1,1.7,1.8,1.5,16.65955823
26,81,81,31.5,5.8,13.2,1.9,5.6,3.9,7.6,0.509,1.7,2.1,0.5,2.7,3.6,0.9,0.1,1.9,2.8,15.1,12.3,0.536,0.421,0.159,1.6,9.4,5.4,17.6,1.4,0.4,11.9,22.1,0.8,2.5,3.2,0.061,-1.8,-0.6,-2.4,-0.3,16.65750873
26,54,32,14.5,1.6,2.9,0,0,1.6,2.9,0.571,1.1,1.7,1.5,3.1,0.6,0.2,0.8,0.6,1.9,4.4,14.4,0.602,0,0.583,11,23.3,17,5.9,0.7,4.6,14.8,12.7,1.2,0.8,2,0.125,-2.4,0,-2.5,-0.1,16.6487239
29,81,81,31.8,6.4,13,2,4.8,4.4,8.2,0.575,3,3.8,0.4,3.7,2,0.9,0,1.7,1.7,18,16.1,0.613,0.367,0.29,1.5,12.7,7.2,9.5,1.3,0,10.2,22.4,3.9,2.8,6.8,0.126,1.3,-0.6,0.7,1.7,16.6487239
29,76,2,13.6,2.5,5,0.3,0.7,2.2,4.2,0.527,1.2,1.4,1.1,3,0.9,0.6,0.5,0.8,1.8,6.4,18.1,0.572,0.149,0.281,8.3,24.1,16.1,10.3,2.2,3.4,11.9,19.6,1.5,1.3,2.8,0.132,-0.3,0.9,0.6,0.7,16.60232345
28,68,67,27.9,4.3,10.7,1.2,3.7,3.2,7,0.458,2.9,3.4,0.5,3.1,6.1,1.3,0.1,2.6,2.6,12.7,14,0.52,0.348,0.312,1.9,11.8,6.9,32.1,2.3,0.4,17.8,22.7,0.9,2.8,3.7,0.095,-1,0.8,-0.2,0.9,16.6005218
